Index,Headline,Sentiment_label
128,"Quiz suspends clothing supplier over Leicester subcontractor concerns",NEG
129,"BT boss warns of outages and security risks if UK ditches Huawei",NEG
130,"Three in four UK firms unprepared for Brexit, study shows",NEG
131,"UK tobacco sales fell faster after plain packaging rules came into force",POS
132,"Shoppers shun high streets in England and Northern Ireland, data shows",NEG
133,"Bono campaign group accuses UK of wasting international aid budget",NEG
134,"Project Syndicate economists Covid-19 is no excuse for sovereign creditors to move the goalposts on debt",NEG
135,"Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery",POS
136,"Priti Patel to unveil details of post-Brexit immigration plans",NEU
137,"Primark turns down £30m windfall from job retention bonus",POS
138,"Post-furlough sums don’t add up for me",NEG
139,"Corporations begin cautious return to UK offices after lockdown",NEU
140,"Economics viewpoint Until Covid-19 uncertainty melts away there's little chance of full economic recovery",NEG
141,"Of course there's a future for the British fishing industry – on stage",NEU
142,"The simplest way to close the racial wealth gap? Direct cash payments",POS
143,"Enough of the psychobabble. Racism is not something to fix with therapy",NEG
144,"‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight",NEG
145,"Precious metal: the gold-standard investment when a crisis hits?",NEU
146,"The shifting patterns of English May I have a word about… why it’s a bloodbath on the streets",NEG
147,"Observer business agenda Sunak will say things are looking up, but OBR has less faith in a rebound",NEG
148,"Business leader Investors are selling Boohoo shares now. They could have intervened far earlier",NEG
149,"Is too much trade at stake for Britain to stand up to Beijing?",NEU
150,"Where in Britain does China spend its money?",NEU
151,"Electric cars: five best buys, from new models to used bargains",POS
152,"Boris Johnson urged to clarify message on wearing face masks in shops",NEU
153,"Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich",NEG
154,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",POS
155,"'Pensioners are already suffering': responses to the summer statement",NEG
156,"Leicester factory put lives at risk during lockdown, claims garment worker",NEG
157,"Vast Brexit customs clearance centre to be built in Kent",NEU
158,"G4S fined £44m by Serious Fraud Office over electronic tagging",NEG
159,"The billionaire Boohoo family who started with a market stall in Manchester",NEU
160,"Estate agents in England report surge of interest as tax cut spurs on homebuyers",POS
161,"Boohoo shareholder sells off shares in firm worth nearly £80m",NEG
162,"West End landlord collects less than a third of rent in June",NEG
163,"UK travel companies 'must comply with laws on refunds or face legal action'",NEG
164,"Boohoo co-founder Jalal Kamani linked to Leicester garment factory",NEG
165,"Divided Libya to restart oil production after six-month shutdown",POS
166,"Business live England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",POS
167,"The age of extinction Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong",NEG
168,"Gyms, pools and nail bars: what the new rules in England allow",NEU
169,"Other lives Mike Wilson obituary",NEU
170,"Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel",NEG
171,"‘This isn’t really Somerset’: how the rich took over Bruton",NEG
172,"Royal Mail fined £1.6m for late deliveries and stamp overcharging",NEG
173,"Culture in peril Coronavirus: hospitality VAT cut will apply to concerts and music festivals",POS
174,"One in 10 of Restaurant Group outlets will not reopen this year",NEG
175,"How will we know the US economy is recovering? Here's what I'm watching",NEU
176,"Gym Group to reopen most branches in England from 25 July",POS
177,"Pubs and restaurants in England trade at half their pre-virus levels",NEG
178,"Nils Pratley on finance Sharon White's radicalism at John Lewis is sorely needed",POS
179,"US push to ease global energy controls as it hands fossil fuels $3bn",NEG
180,"Boohoo shares bounce back after pledge to improve factory conditions",POS
181,"Kent airport gets green light to reopen as international hub",POS
182,"Business live Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",NEG
183,"Seven ways to help garment workers",POS
184,"Boots and John Lewis to cut 5,300 jobs and close stores",NEG
185,"'Left in limbo': Leicester fears local lockdown will go on until mid-August",NEG
186,"Man arrested in Solihull over suspected £500k furlough fraud",NEG
187,"'No masks': Wagamama criticised over Rishi Sunak photo op",NEG
188,"'Phones ringing off the hook' at estate agents after stamp duty cut",POS
189,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",NEG
190,"Sunak's jobs policies badly timed and poorly targeted, says IFS",NEG
191,"Our film critic's first drive-in: 'I quietly squeak with excitement'",POS
192,"Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis",NEG
193,"The pelvic mesh scandal makes it clear: doctors must declare any funding",NEG
194,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",NEG
195,"Workers fight back as US hotels try to lay off staff and hire on the cheap",NEG
196,"Second administrator to scrutinise Laura Ashley collapse",NEG
197,"Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus",NEG
198,"John Lewis shuts eight stores with expected loss of 1,300 jobs",NEG
199,"China has shown it is willing to pay the economic price of suppressing Hong Kong",NEG
200,"Uber Eats to deliver your supermarket shopping with Asda tie-up",POS
201,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",NEG
202,"NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years",NEG
203,"Today in Focus The Leicester garment factories exposed by Covid-19",NEG
204,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",NEG
205,"UK housing market's post-lockdown bounce 'might run out of steam'",NEG
206,"Mass unemployment feared despite Rishi Sunak's 'plan for jobs'",NEG
207,"'There are too many uncertainties': reactions to the summer statement",NEG
208,"International aviation and shipping likely to be added to UK's net zero carbon target",POS
209,"Chancellor's 'eat out to help out' plan: how to get value for money",POS
210,"Unions urge Rishi Sunak to do more on unemployment",NEG
211,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",POS
212,"Chancellor's stock peaks with 'nudge' summer statement",POS
213,"'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response",NEG
214,"Stamp duty holiday may revive housing market, say experts",POS
215,"Politics live with Andrew Sparrow UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",POS
216,"UK business leaders warn over closure of furlough scheme",NEG
217,"Boohoo to launch independent review of UK supply chain",NEU
218,"May worst month for Covid-19 impact on UK job market, ONS figures show",NEG
219,"Devolved nations call on Treasury for billions in extra spending",NEG
220,"Boohoo must take fashion more seriously after factory scandal",NEG
221,"Scotland to keep 14-day quarantine for travellers from Spain",NEU
222,"UK nominates Liam Fox to lead World Trade Organization",NEU
223,"Rishi Sunak unveils stamp duty holiday and hospitality VAT cut",POS
224,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",NEG
225,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",NEG
226,"Summer statement 2020: the chancellor's key points at a glance",NEU
227,"FirstGroup could cease trading as coronavirus hits passenger levels",NEG
228,"Grant Thornton fined over Conviviality audit failures",NEG
229,"Activists see Purdue bankruptcy case as last chance to call Sacklers to account",NEG
230,"Uber to launch London commuter boat service with Thames Clippers",POS
231,"147 new Australian Covid-19 cases – as it happened",NEG
232,"Stop trying to fight racism with corporate diversity consultants",NEG
233,"Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s",POS
234,"Summer statement: the UK's Covid-19 economic crisis in five key charts",NEG
235,"How Rishi Sunak could kickstart UK's post-lockdown economy",POS
236,"Scam calls will rise as lockdown eases, says trading standards body",NEG
237,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",NEG
238,"Nils Pratley on finance No business need at all now for a Chinese nuclear plant in the UK",NEG
239,"Thousands of Jaguar Land Rover logistics workers to lose jobs",NEG
240,"Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings",NEG
241,"Crime fiction boom as book sales rocket past 2019 levels",POS
242,"Business live Markets slide as EC predicts deeper eurozone recession - as it happened",NEG
243,"JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests",NEG
244,"The pandemic has exposed the dark underside of fast fashion's supply chains",NEG
245,"Lockdown living Fast fashion creates misery – and that's always a bad look",NEG
246,"New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France",NEG
247,"Halfords predicts bicycle boom to continue for 2020",POS
248,"UK house prices fell for fourth month in a row, says Halifax",NEG
249,"'We squandered a decade': world losing fight against poverty, says UN academic",NEG
250,"'People say we don’t exist': the scandal of excluded black architects",NEG
251,"Europe faces deep recession and UK will shrink by 10%, says EC",NEG
252,"Boohoo shareholders demand answers after shares plunge by a third",NEG
253,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",NEG
254,"Empathy machines: what will happen when robots learn to write film scripts?",NEU
255,"UK jobless rate 'could near 15% in second coronavirus wave'",NEG
256,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",POS
257,"Mirror and Express owner Reach to cut 550 jobs",NEG
258,"Treasury's 'green recovery' not enough, say campaigners",NEG
259,"Tory ministers from 1980s fear return to mass unemployment",NEG
260,"Gambling charity urges UK banks to improve card blocking systems",NEU
261,"Multibillion-dollar gas projects in jeopardy as global market collapses",NEG
262,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",NEU
263,"Nils Pratley on finance Departure of Horta-Osório no bad thing for Lloyds at this time",NEU
264,"More than £1bn wiped off Boohoo value as it investigates factory conditions",NEG
265,"Business live UK car sales weakest since 1971; US service sector strengthens - as it happened",NEG
266,"UK factory output suffers worst quarter on record amid coronavirus lockdown",NEG
267,"Aviva appoints Amanda Blanc as chief executive",POS
268,"Pret a Manger to close 30 UK stores with potential loss of 1,000 jobs",NEG
269,"Giant flywheel project in Scotland could prevent UK blackouts",POS
270,"UK construction sector rebounds amid plan for stamp duty holiday",POS
271,"Hollywood stars to be exempt from UK's coronavirus quarantine rules",POS
272,"Pret a Manger to close 30 stores and could cut more than 1,000 jobs",NEG
273,"UK’s big accountancy firms told to split off audit arms by 2024",NEU
274,"Only bold state intervention will save us from a future owned by corporate giants",NEG
275,"Lloyds chief António Horta-Osório to step down next year",NEU
276,"Scammers can create fake business ads on Google 'within hours'",NEG
277,"Thames Water former boss handed £2.8m since being sacked",NEG
278,"Lifting of lockdown in England: how do you feel reopening has gone?",NEU
279,"Economics viewpoint Fifteen years after the G8, the UK closed in dire need of aid",NEG
280,"Evening footfall on England's high streets soars as pubs reopen",POS
281,"'They've been missed': Cornwall welcomes first tourists of summer",POS
282,"For small business owners, the pandemic proves it: millennials were right",POS
283,"Honey, I shrunk the shopping: the rise of mini products as children's toys",POS
284,"Travel agents resort to hardline tactics to get out of a refund",NEG
285,"Wouldn’t it be great for British town centres if people could just move into closed shops?",POS
286,"Notebook Have a heart, KitKat, don't break with Fairtrade",NEG
287,"Business leader Big closed from deal",NEG
288,"Hidden gems from the world of research We might never get over the fear that the pandemic induced",NEU
289,"Sunak considers £500 vouchers for all UK adults to spend in Covid-hit firms",POS
290,"Donald Trump rushed to reopen America – now Covid is closing in on him",NEG
291,"The Observer view on the reopening of the economy",NEU
292,"Letters: recovery plan must not endanger the Earth",NEG
293,"I left my heart in the Luton airport branch of Bella Italia",NEU
294,"Observer business agenda Rolls-Royce faces a long haul back to high-flier status",NEG
295,"Huawei could be cut out of UK's 5G network this year, NET reports say",NEG
296,"The Bank of England has many battles ahead. Inflation will not be one of them",NEU
297,"VAT, NICs … what will Rishi Sotak’s summer statement target?",NEU
298,"The Covid crisis has struck Rishi Sunak a star, but it could yet undo him",NEG
299,"English pubs pour first pints for customers since lockdown began",POS
300,"Debt: 'The first step towards change is admitting you have a problem'",NEG
301,"Boohoo booms as Leicester garment factories are linked to lockdown",NEG
302,"England eases lockdown: how pubs, hairdressers and restaurants will work",POS
303,"Banking apps: what do they offer – and how is your cash protected?",NEU
304,"UK manufacturers to export surplus medical ventilators",POS
305,"Leicester residents could be fined up to £3,200 for breaching new lockdown laws",NEG
306,"Queenstown: a tourist town with no tourists fights despair among stranded workers",NEG
307,"Struggling retailers paid less than a third of June rent, says malls owner",NEG
308,"Mission impossible? How to shoot a blockbuster in the coronavirus era",NEU
309,"Amid the havoc wreaked by coronavirus, there is another danger we've forgotten",NEG
310,"Gin, cheese and coffee: Britons flock to subscription services in lockdown",POS
311,"‘A bit of trepidation’: Lake District prepares to reopen to visitors",NEU
312,"Business live UK service sector slump levels off, as China growth surges - as it happened",POS
313,"UK waste firm Biffa loses appeal after exporting dirty waste to China",NEG
314,"Poundstretcher could close half its stores under rescue deal",NEG
315,"Socially distanced outdoor music venue to open in Newcastle in August",POS
316,"Tenby residents feel mixed emotions about tourists' return",NEU
317,"China's stock market closes at highest level in five years",POS
318,"Some small businesses can't get past their own prejudice. Let them fold",NEG
319,"UK car loans and pawnbroker payments freeze extended",POS
320,"Holidaymakers offered little or no coronavirus-related insurance",NEG
321,"Nils Pratley on finance Why the secrecy around financial terms of Covid-19 loan to Celsa Steel UK?",NEG
322,"Barclays: Qataris spoke to Gordon Brown to 'defuse 2008 bailout pressure'",NEU
323,"Unions say Coalition's 'demonising' of unemployed is groundwork for Covid-19 welfare cuts",NEG
324,"Mark Zuckerberg: advertisers' boycott of Facebook will end 'soon enough'",NEU
325,"Behind the 4.8m jobs that returned: key takeaways from June’s US jobs report",POS
326,"Luton airport to make up to 250 staff redundant",NEG
327,"Bella Italia owner falls into administration, with loss of 1,900 jobs",NEG
328,"Boris ‘the Builder’ Johnson has found a new scapegoat: the humble newt",NEG
329,"Business live Markets rally as US unemployment rate falls to 11.1% - as it happened",POS
330,"Tobacco firm funded attack on council quit-smoking services",NEG
331,"$10bn of precious metals dumped each year in electronic waste, says UN",NEG
332,"Revealed: raw sewage poured into Olympic Park wildlife haven",NEG
333,"UK gives go-ahead to giant windfarm project off Norfolk coast",POS
334,"US employers take back 4.8m workers as coronavirus threatens economic recovery",POS
335,"Jordan bans smoking and vaping in indoor public spaces",NEU
336,"UK government development bank to end fossil fuel financing",POS
337,"Project Syndicate economists Invest in the green economy and we'll recover from the Covid-19 crisis",POS
338,"Primark loses £800m in Covid-19 lockdowns",NEG
339,"UK should prioritise green projects to kickstart economy, says IMF",POS
340,"Fears grow for UK high street as more than 6,000 retail jobs cut in a day",NEG
341,"Nils Pratley on finance As the Hong Kong security law comes into force, HSBC's silence is deafening",NEG
342,"Pressure mounts on UK government to release list of 'air bridges'",NEU
343,"Richard Branson to pump £200m into Virgin Atlantic as part of rescue package",POS
344,"Tesla becomes world's most valuable carmaker without making a profit",POS
345,"Accenture to cut up to 900 UK jobs as pandemic hits demand",NEG
346,"UK retail landlords squeezed as stores hit by Covid-19 crisis",NEG
347,"Ministers urged to limit Facebook and Google's power over ad market",NEG
348,"Business live UK house prices fall as Covid-19 job losses surge, but US employment rises - as it happened",NEG
349,"England's privatised water firms paid £57bn in dividends since 1991",NEG
350,"One man's fight to get bathing water status for a stretch of river near Bath",POS
351,"England's sewerage: what the water companies have to say",NEU
352,"Ryanair pilots agree to 20% pay cut in attempt to limit job losses",NEG
353,"Tony Pidgley obituary",NEU
354,"Banking watchdog drops threat of inquiry into overdraft charges",NEU
355,"Sainsbury's reports rise in grocery sales and surge in online orders",POS
356,"France bans Dutch bike TV ad for creating 'climate of fear' about cars",NEG
357,"UK annual house prices fall for first time since 2012",NEG
358,"Upper Crust and Caffè Ritazza owner to cut 5,000 UK jobs",NEG
359,"US shale gas giant brought down by big debts and oil slump",NEG
360,"Tesla shareholders urged to oust Elon Musk over $55bn pay deal",NEG
361,"Nils Pratley on finance The future may be V-shaped, but it would be rash to count on it",NEG
362,"'Gravest crisis' as Airbus plans to cut 15,000 jobs, 1,700 in UK",NEG
363,"The politics sketch Boris Johnson returns to his happy place: upbeat, vague and incoherent",NEU
364,"Business live FTSE 100 posts best quarter since 2010 amid Covid-19 recovery hopes - as it happened",POS
365,"'New deal' risks fuelling emissions and eroding building standards",NEG
366,"Politics live with Andrew Sparrow UK coronavirus: Chris Whitty warns of second spike if people ignore new rules in final daily briefing – as it happened",NEG
367,"Psychic energy in, newt counters out: Boris Johnson’s magic economic potion",NEG
368,"EU bans Pakistan national airline flights over pilot exam cheats",NEG
369,"Harveys and TM Lewin fall into administration with loss of 800 jobs",NEG
370,"Boris Johnson's 'loose change' is hardly Roosevelt's New Deal",NEG
371,"Britain and Brussels turn on each other for prolonging City's uncertainty",NEG
372,"EasyJet plans to cut 727 pilot jobs and close three UK bases",NEG
373,"UK on course for a V-shaped recovery, says Bank of England",POS
374,"Boris Johnson's 'new deal' speech: what is missing?",NEG
375,"How does Boris Johnson's 'new deal' compare with Franklin D Roosevelt's?",NEU
376,"Stand aside, everyone: the Conservative cowboy builders are back on the job",NEG
377,"Shell to cut £18bn from value of assets amid coronavirus crisis",NEG
378,"Seat of the problem: why does Christopher Nolan hate chairs?",NEU
379,"Boris Johnson refuses to rule out tax rises to fund recovery plans",NEG
380,"Progress on gender equality at risk from Covid-19 jobs crisis, says ILO",NEG
381,"Redrow shifts its housebuilding focus away from London",NEU
382,"Comic Relief's Richard Curtis backs ethical pension campaign",POS
383,"Cinema giants delay reopening in UK and US as movie releases stall",NEG
384,"Central banks ‘could face political pressure to allow high inflation’",NEG
385,"Sunak expands £500m fund for UK startups hit by coronavirus",POS
386,"Is it ethical for businesses to raise prices amid Covid-19? Of course it is",NEU
387,"Wirecard UK unlocks customers' cash after FCA freeze",POS
388,"UK economy hit by sharpest fall in 41 years amid Covid-19 crisis",NEG
389,"AGL says it will link bosses’ bonuses to lowering emissions",POS
390,"Consumer champions Ikea left me in bits with a half-finished kitchen",NEG
391,"The age of extinction How do you deal with 9m tonnes of suffocating seaweed?",NEG
392,"Diabetes UK calls for extended home working for people in Covid-19 risk groups",NEU
393,"Coronavirus slump could delay building of 300,000 homes",NEG
394,"Lib Dem MP Layla Moran targets rise in BAME board directors",POS
395,"Nils Pratley on finance Has CMA been put back in its box after Tyrie's exit? That's how it looks",NEG
396,"UK ministers send mixed messages over climate commitments, say fund manager",NEG
397,"America's coalminers call for urgent help amid Covid-19 and industry decline",NEG
398,"Watchdogs warn pharmacies not to hike price of face masks",NEG
399,"Chesapeake bankruptcy seen as turning point for oil industry",NEG
400,"BP sells petrochemical business to Ineos for $5bn",NEU
401,"US consumer watchdog chief can be fired by president, supreme court rules",NEU
402,"Business live UK mortgage approvals slump as Covid-19 hits housing market - as it happened",NEG
403,"Wirecard asset freeze leaves vulnerable people without cash",NEG
404,"Byron to go into administration in attempt to sell parts of burger chain",NEG
405,"Musical instrument firms Roland and Korg fined £5.5m over UK price fixing",NEG
406,"UK home loans fall 90% since start of Covid-19 crisis",NEG
407,"Inside the Guardian Orwell prize nominee Aditya Chakrabortty: 'Don't do what everyone else is doing'",POS
408,"Boeing begins 737 Max test flights after green light from regulators",POS
409,"After coronavirus, cinema may never be the same again",NEG
410,"Match Covid-19 economic stimulus with climate fight ambition, urge MPs",POS
411,"Abandon 'levelling up' agenda at your peril, PM warned",NEG
412,"Make Covid-19 support for vulnerable energy customers permanent, Ofgem tells suppliers",POS
413,"Red alert issued over Landsec executive's bumper pension package",NEG
414,"The Pacific project Quarter of businesses in Pacific fear they will not survive Covid-19 pandemic",NEG
415,"Chesapeake Energy, fracking pioneer, files for bankruptcy owing $9bn",NEG
416,"UK needs 'biggest-ever peacetime job creation plan' to stop mass unemployment",NEG
417,"Foreign travel boost as UK gives green light to overseas trips",POS
418,"Hydrogen fuel bubbles up the agenda as investments rocket",POS
419,"Revealed: Developers PM backed when London mayor give almost £1m to Tories",NEG
420,"UK cinemas set for worst year since 1996 due to coronavirus",NEG
