,Unnamed: 0,Date,Headline,Ticker,Categories,Sentiment,Sentiment_Score
23,24,2011-10-06 04:01:00,False Default Signal Seen With Swaps Cost Most Since January: Muni Credit,COST,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9984539747238159
24,25,2011-10-06 11:31:18,"RadVision Advances Most in a Week, Paring Gap With U.S. Shares",V,['None'],NEGATIVE,0.7417188286781311
25,26,2011-10-07 05:43:30,"Vietnam Raises a Key Rate to Support Dong, Fight Inflation",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9911037683486938
26,27,2011-10-06 10:40:45,Orix May Buy U.S. Asset Manager to Enter Equity Market,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Corporate Earnings', 'News - Mergers & Acquisitions', 'News - Store Openings', 'News - Adverse Events', 'News - Stock Rumors']",NEGATIVE,0.9390861988067627
27,28,2011-10-06 03:47:09,"Philippine Customs September Collection Below Goal, Biazon Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",NEGATIVE,0.9897486567497253
28,29,2011-10-06 21:24:10,Baum’s Foreclosure Law Firm Agrees to Pay U.S. $2 Million Over Practices,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9340412020683289
29,30,2011-10-06 06:48:48,Lukoil May Invest $300 Mln in Romanian Project: Ziarul Financiar,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9719238877296448
30,31,2011-10-06 02:48:46,"New Zealand Dollar Falls Against U.S. Currency, Yen, Trades at 76.42 Cents",T,['None'],NEGATIVE,0.9960076808929443
31,32,2011-10-06 10:56:56,"Dubai Stocks Gain, End 7-Day Drop, on Arabtec Contract, Europe",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",POSITIVE,0.9283956289291382
32,33,2011-10-06 05:15:23,"PepsiCo May Purchase Russian Drinksmaker Deka, Kommersant Says",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9828044176101685
33,34,2011-10-06 14:20:44,Harvard Loses Top World University Ranking for First Time,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs']",NEGATIVE,0.9993081092834473
34,35,2011-10-07 07:10:54,Hana Financial Pushes for Korea Exchange Takeover After Lone Star Ruling,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9789776802062988
35,36,2011-10-06 13:32:15,GE Study Finds Recession’s Job Creators Still See Sales Gain,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9721542000770569
36,37,2011-10-06 21:35:53,FCC to Revamp Phone Subsidy to Spur Expanded Internet Access,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9742112755775452
37,38,2011-10-06 14:16:51,Bulgaria Files $81 Million Arbitration Claim Against Rosatom,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9930620789527893
38,39,2011-10-06 06:59:00,"Breguet Sales to Exceed 500 Million Francs, Hayek Tells Blick",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",POSITIVE,0.9101250767707825
39,40,2011-10-06 07:30:12,Saft Chief Says Infrastructure So Far Proving Resilient to Debt,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9884427189826965
40,41,2011-10-06 23:26:31,"Hana Financial, Korea Exchange, Samsung: Korea Equity Preview",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",POSITIVE,0.7273802757263184
41,42,2011-10-06 12:37:16,"Jordan Central Bank Reserves at 1.16 Billion Dinars, Petra Says",V,['None'],NEGATIVE,0.8851768970489502
42,43,2011-10-06 15:09:18,"EU Corn Crop to Jump 15% on France, Romania, Coceral Says",MA,['None'],POSITIVE,0.9699804186820984
43,44,2011-10-06 05:01:00,Peru May Keep Interest Rate at 4.25% for a Fifth Month on Global Slowdown,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9810642004013062
44,45,2011-10-06 07:03:32,Euro-Area Leaders to Hold Summit in Brussels on Oct. 18,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9971187114715576
45,46,2011-10-06 05:53:03,"Porsche Takes Charges From VW on Purchases, Handelsblatt Says",V,['None'],NEGATIVE,0.9666229486465454
46,47,2011-10-06 08:23:11,Spain September Fotocasa.es House Price Index,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.7968152761459351
47,48,2011-10-06 01:00:00,South Korea Sees Wider Current-Account Surplus for Last Month,KO,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9779883623123169
48,49,2011-10-06 19:39:07,U.S. Iron and Steel Scrap Exports by Country for June,T,"['News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Personnel Changes']",NEGATIVE,0.7915210127830505
49,50,2011-10-06 11:19:45,Bank Default Risk Declines in Europe on Recapitalization Wagers,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9964350461959839
50,51,2011-10-06 11:31:37,"Ukraine’s Grain Harvest Advances by 17%, UkrAgroConsult Says",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.8770990967750549
51,52,2011-10-06 02:24:43,SMBC Nikko Investigated by Japan Watchdog for Insider Trading,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",NEGATIVE,0.9849562048912048
52,53,2011-10-06 10:20:35,Japan’s Trade Minister to Meet Adnoc Chief to Extend Oil Rights,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",POSITIVE,0.9908635020256042
53,54,2011-10-06 14:00:46,U.S. Aug. Single Family Detached Home Prices,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9895179867744446
54,55,2011-10-06 04:01:00,Coal-Price Stability Signals Opportunity in Stock Plunge: Chart of the Day,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Store Openings', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9480070471763611
55,56,2011-10-07 13:46:20,Investors Pull $113 Million From U.S. Muni-Bond Funds,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9825003743171692
56,57,2011-10-06 16:48:44,Obama to Run Against ‘Do-Nothing’ Congress If Jobs Legislation Fails,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.931277334690094
57,58,2011-10-06 04:45:43,Hong Kong Doesn’t Plan to Ban Short Selling; Sale Is Normal,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",POSITIVE,0.8367862105369568
58,59,2011-10-06 06:22:35,Treasury 30-Year Securities Fall; Yield Rises Two Basis Points to 2.87%,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings']",NEGATIVE,0.9956062436103821
59,60,2011-10-13 04:00:00,"South Africa Daybook: Mining Output, Zuma, Farmers and Phones",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",POSITIVE,0.809907078742981
60,61,2011-10-06 05:37:51,OMV Petrom Says Started Operations at Romanian Wind Park,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",POSITIVE,0.6619635820388794
61,62,2011-10-06 13:09:36,Cocoa Options Show Increase in Bets on Price Rise by December,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.6658151149749756
62,63,2011-10-06 06:40:27,Sri Lanka’s Dheerasinghe Says Inflation May Ease to Below 6%,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9971092343330383
63,64,2011-10-06 19:05:01,House Panel Seeks Details on IRS Investigations of Nonprofits,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",POSITIVE,0.8323579430580139
64,65,2011-10-06 06:30:06,1st Holdings Revises Planned FY Group Dividend to 21.45 Yen,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",NEGATIVE,0.8991852402687073
65,66,2011-10-06 12:56:28,U.K. Sues Over ECB Limits on Clearing Euro-Denominated Trades,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Mergers & Acquisitions', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9990711212158203
66,67,2011-10-06 07:53:25,"Philippines to Import 4,000 Tons of Onions From China, Holland",T,"['News - Negative Sentiment', 'News - Stocks']",NEGATIVE,0.5287476778030396
67,68,2011-10-06 01:36:54,"South Korean Stocks Movers: Hana Financial, LG Electronics",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.8046270608901978
68,69,2011-10-06 01:40:48,Remittances to Vietnam Thru July Rose 43 Percent to $5.6 Billion,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Dividends']",NEGATIVE,0.9584893584251404
69,70,2011-10-06 17:00:12,Emdeon Said to Set Rate on $1.2 Billion Term Loan for LBO,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9647676944732666
70,71,2011-10-06 05:19:40,PV Oil Seeks to Buy Gasoline Cargoes for Delivery in November,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.997607946395874
71,72,2011-10-23 05:50:33,"Major League Baseball’s Postseason Schedule, Results",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Personnel Changes', 'News - Stock Rumors']",POSITIVE,0.9924792051315308
72,73,2011-10-06 06:30:06,S-Pool Inc Announces Planned FY Group Dividend of 0.00 Yen,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9953601956367493
73,74,2011-10-06 13:29:44,Ukraine September Producer Prices: Summary,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.8944523334503174
74,75,2011-10-06 10:49:59,Lippo Karawaci Plans to Spend $275 Million on Capex Next Year,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9698559641838074
75,76,2011-10-06 05:07:59,"Russia May Revise Tobacco, Alcohol Tax Quarterly, Vedomosti Says",V,['News - Dividends'],NEGATIVE,0.9726995825767517
76,77,2011-10-06 10:29:46,California’s Underground Hot Rocks Probed for Energy of 100 Nuclear Plants,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",POSITIVE,0.9917265176773071
77,78,2011-10-06 17:10:09,"CO2 Plunge May Create Funding Gap for Carbon Capture, PwC Says",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Adverse Events', 'News - Stock Rumors']",NEGATIVE,0.9988534450531006
78,79,2011-10-06 11:59:14,"Polish Stocks: Getin, KGHM, Lotos, Orlen, PKO Bank, PZU, TVN",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.6287931203842163
79,80,2011-10-06 15:30:11,U.S. Stock Options With Biggest Changes in Implied Volatility,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Mergers & Acquisitions', 'News - Store Openings', 'News - Personnel Changes']",POSITIVE,0.6122080087661743
80,81,2011-10-06 08:59:25,Philippine Peso Advances as U.S. Economic Data Buoys Sentiment,V,['News - Layoffs'],POSITIVE,0.9414909482002258
81,82,2011-10-06 20:10:03,Congress Ready to Vote on Three Free-Trade Accords Within Week,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Personnel Changes']",POSITIVE,0.7623481750488281
82,83,2011-10-06 12:19:24,"Dodd-Frank, Cybersecurity, Tax Holiday, Finra: Compliance",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Store Openings', 'News - Product Recalls', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",POSITIVE,0.6462697982788086
83,84,2011-10-21 09:09:58,Kelusa Capital China Seeks Money for Fund After Gains,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Stock Rumors']",NEGATIVE,0.9871947169303894
84,85,2011-10-06 01:37:27,Vietnam Jan-July Balance of Payments Surplus Exceeds $5 Billion,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9744665026664734
85,86,2011-10-06 12:30:01,Canada August Building Permits: Statistical Summary,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.6749280691146851
86,87,2011-10-06 13:44:26,"South African Commodities Trader Mochron Plans IPO, CEO Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.5487169623374939
87,88,2011-10-06 07:15:27,German Two-Year Notes Rise; Yield Falls 2 Basis Points to 0.48%,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9804743528366089
88,89,2011-10-07 07:04:47,Doctor Accused of Aiding Bin Laden Raid May Face Treason Charge,MA,"['News - Layoffs', 'News - Stocks', 'News - Stock Rumors']",NEGATIVE,0.9870315194129944
89,90,2011-10-06 15:25:25,"Croatia’s Agrokor Must Finish Belje Takeover, Regulator Says",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9969809651374817
90,91,2011-10-06 06:14:59,"SocGen Sees Limited Greek Impact, Cabannes Tells Handelszeitung",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9996399879455566
91,92,2011-10-06 08:28:14,Norway Boosts Mongstad Carbon-Storage Site Cost to $985 Million,COST,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9921345710754395
92,93,2011-10-06 00:12:00,"IShares Silver Trust Holdings Unchanged at 9,991 Metric Tons",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9819066524505615
93,94,2011-10-06 03:29:53,Philippines Cancels 10-Year Treasury Bond Auction on Oct. 11,T,['News - Layoffs'],NEGATIVE,0.9963002800941467
94,95,2011-10-07 08:19:32,"Samsung Profit Beats Estimates as Galaxy Smartphones Challenge Apple, HTC",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Stock Rumors']",NEGATIVE,0.9725022315979004
95,96,2011-10-06 20:27:06,U.S. Companies Issuing Profit Outlooks for Oct. 6,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Mergers & Acquisitions', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.7270423173904419
96,97,2011-10-06 09:18:42,"Indonesia Stock Movers: Astra International, Energi Mega, Telkom",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Stock Rumors']",POSITIVE,0.6819669604301453
97,98,2011-10-06 13:30:17,Ukraine September Consumer Prices by Category,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.8620890974998474
98,99,2011-10-06 13:00:07,South Sudan Expects to Earn $2.14 Billion From Oil Since July,T,['None'],NEGATIVE,0.9070565104484558
