,Index,Headline,Sentiment_label,processed_text
36,36,Public sector pension discrimination could cost UK taxpayer £17bn,NEG,public uk sector pension discrimination could cost taxpayer
37,37,World's largest oil firm agrees to carbon cuts to tackle climate crisis,POS,world largest oil firm agrees carbon cut tackle climate crisis
38,38,Boohoo shares rise 12% after co-founders pump £15m into firm,POS,boohoo share rise pump firm
39,39,UK government orders halt to Randox Covid-19 tests over safety issues,NEG,randox uk government order halt test safety issue
40,40,Canary Wharf traders and landlord bank on return to offices,POS,canary wharf trader landlord bank return office
41,41,Number of UK problem gamblers seeking help soars in lockdown,NEG,uk number problem gambler seeking help soar lockdown
42,42,British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',NEG,british gas owner smokescreen alter staff contract
43,43,'It's disrupted our entire lives': UK workers on losing their jobs,NEG,disrupted entire life uk worker losing job
44,44,Business live China shares suffer biggest fall since February; US jobless claims still high - as it happened,NEG,business china february us live share suffer biggest fall since jobless claim still high happened
45,45,"More than 1,600 UK jobs at risk at casino firm Genting",NEG,uk job risk casino firm genting
46,46,Royalties investment firm buys catalogue of Lady Gaga collaborator,POS,lady gaga royalty investment firm buy catalogue collaborator
47,47,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",NEG,pizza express close restaurant risking job
48,48,Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,NEG,rishi sunak ifs package recycled spending
49,49,Next in final stages of buying UK arm of Victoria's Secret,POS,uk victoria secret next final stage buying arm
50,50,"Human rights in focus Ethical labels not fit for purpose, report warns consumers",NEG,ethical human right focus label fit purpose warns consumer
51,51,UK banks may have to flag up plans to shut branches or cash machines,NEU,uk bank may flag plan shut branch cash machine
52,52,1.3m more file for unemployment as US economy continues to reel,NEG,us file unemployment economy continues reel
53,53,Southbank Centre warns of 400 job losses amid coronavirus crisis,NEG,southbank centre warns job loss amid coronavirus crisis
54,54,UK's hidden problem of rising unemployment may soon be exposed,NEG,uk hidden problem rising unemployment may soon exposed
55,55,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",NEG,uk paid employment fall almost crisis bite
56,56,Banks propose student loan-style scheme for struggling UK businesses,POS,uk bank propose student scheme struggling business
57,57,Family fortunes of wealthy increase as super-rich ride coronavirus storm,NEG,family fortune wealthy increase ride coronavirus storm
58,58,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,POS,treasury uk mull plan set coronavirus toxic debt body save small business
59,59,"29% of UK businesses to cut jobs in next three months, survey says",NEG,uk business cut job next three month survey say
60,60,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",NEG,boohoo denying knowledge factory allegation say mp
61,61,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,POS,treasury uk mull plan set coronavirus toxic debt body save small business
62,62,Nils Pratley on finance Margrethe Vestager was 100% correct over public mood on Apple tax case,POS,nils pratley margrethe vestager finance correct public mood apple tax case
63,63,Fear of Pizza Express closures as chain faces takeover by bondholders,NEG,pizza express fear closure chain face takeover bondholder
64,64,'Not much difference': few takers on first day of hospitality VAT cut,NEG,vat much difference taker first day hospitality cut
65,65,Capital gains tax review: your questions answered,NEU,capital gain tax review question answered
66,66,Asos considers action against Leicester supplier in ethical audit,NEG,asos leicester considers action supplier ethical audit
67,67,Business live Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,NEG,business chancellor rishi sunak live warns choice address public finance happened
68,68,BBC announces further 70 job cuts in news division,NEG,bbc announces job cut news division
69,69,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",NEG,claim amanda staveley abu dhabi barclays charge deal fantasy court told
70,70,Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,NEG,trump uk huawei china claim credit ban say move video
71,71,Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,NEG,buzz bingo close hall across uk loss job
72,72,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",NEG,huawei chinese uk ban network groundless say ambassador
73,73,UK fast-food and coffee chains cut prices as VAT relief comes into effect,POS,vat uk coffee chain cut price relief come effect
74,74,"Apple does not need to pay €13bn Irish tax bill, EU court rules",POS,apple irish eu need pay tax bill court rule
75,75,‘I can’t afford to turn away business’: view from shops on face mask rules,NEG,afford turn away business view shop face mask rule
76,76,The Number Bias by Sanne Blauw review – how numbers can mislead us,NEG,sanne blauw number bias review number mislead u
77,77,Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,NEG,chinese uk huawei trump medium call ban claim credit
78,78,Matt Hancock rules out mandatory face masks in offices,NEU,matt hancock rule mandatory face mask office
79,79,Burberry to cut 500 jobs worldwide in £55m cost-saving drive,NEG,burberry cut job worldwide drive
80,80,UK inflation rises as game console prices increase in lockdown,NEG,uk inflation rise game console price increase lockdown
81,81,BFI diversity standards 'failing to tackle race discrimination in UK film industry',NEG,uk bfi diversity standard tackle race discrimination film industry
82,82,"Your problems, with Anna Tims Floored as Harveys constantly failed on its promises to deliver",NEG,anna tims floored harveys problem constantly failed promise deliver
83,83,Governments put 'green recovery' on the backburner,NEG,government put recovery backburner
84,84,The green recovery UK government planning new green investment bank,POS,green recovery uk government planning new green investment bank
85,85,Stamp duty cut fuels surge of interest in London commuter belt,POS,stamp london duty cut fuel surge interest commuter belt
86,86,"UK energy efficiency push offers just a third of the investment needed, says report",NEG,uk energy efficiency push offer third investment needed say
87,87,UK launches first online service for groceries in reusable packing,POS,uk launch first online service grocery reusable packing
88,88,Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy,NEG,rishi sunak capital gain tax review may usher higher tax wealthy
89,89,Virgin Atlantic: a successful non-intervention by the Treasury,POS,virgin atlantic treasury successful
90,90,The Guardian view on Covid-19 economics: the austerity con of deficit hysteria,NEG,guardian view economics austerity con deficit hysteria
91,91,Former Barclays boss apologises for Amanda Staveley 'tart' reference,NEG,amanda staveley former barclays bos apologises reference
92,92,Hospitality VAT cut may not be passed on to UK consumers,NEG,hospitality vat uk cut may passed consumer
93,93,Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly,POS,oprah winfrey oatly tap rising star
94,94,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",NEG,weak obr recovery could make unemployment worse level warns
95,95,Treasury forecaster's three stark predictions for Britain's economy,NEG,treasury britain forecaster three stark prediction economy
96,96,UK accounting firms criticised by watchdog for ‘unacceptable’ work,NEG,uk accounting firm criticised watchdog unacceptable work
97,97,Business live Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened,NEG,hopes uk may business live recovery fade economy grows happened
98,98,Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump,POS,virgin atlantic agrees rescue deal amid coronavirus slump
99,99,Ireland could randomly test tourists from high-risk countries for Covid-19,NEU,ireland could randomly test tourist country
100,100,British Airways to sell art collection to ease Covid-19 pressures,NEG,british airways sell art collection ease pressure
101,101,UK's growth figures dim hopes of V-shaped recovery from Covid-19,NEG,uk growth figure dim hope recovery
102,102,Flood strategy 'at odds with Boris Johnson push for mass housing',NEG,flood boris johnson strategy odds push mass housing
103,103,"UK economy may not recover until end of 2022, Treasury forecaster warns",NEG,treasury uk economy may recover end forecaster warns
104,104,Face masks 'will deter young shoppers' says JD Sports chairman,NEG,face jd sports mask deter young shopper say chairman
105,105,Ocado has waiting list of 1 million customers wanting to sign up,POS,ocado waiting list million customer wanting sign
106,106,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",NEG,huawei uk dowden stripped role network confirms
107,107,"End of the office: the quiet, grinding loneliness of working from home",NEG,end office quiet grinding loneliness working home
108,108,Britain's economy returns to growth more slowly than expected,NEG,britain economy return growth slowly expected
109,109,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",NEG,sunak treasury package may value money warns economist
110,110,UK retail sales in June show signs of recovery after covid lockdown,POS,uk retail sale june show sign recovery covid lockdown
111,111,The fast fashion fix: 20 ways to stop buying new clothes for ever,NEU,fast fashion fix way stop buying new clothes ever
112,112,Government hopes cut in red tape will triple UK's battery capacity,POS,uk government hope cut red tape triple battery capacity
113,113,"After mixed messages and mess-ups, Johnson bows to the inevitable",NEG,johnson mixed message bow inevitable
114,114,UK's expected U-turn on Huawei fails to satisfy Tory rebels,NEG,huawei tory uk expected fails satisfy rebel
115,115,Nils Pratley on finance Sunak cannot just hope other big firms will follow Primark's furlough stance,NEG,nils pratley primark finance sunak hope big firm follow furlough stance
116,116,Asda equal pay dispute goes to UK supreme court in virtual hearing,NEU,asda uk equal pay dispute go supreme court virtual hearing
117,117,Boohoo shares drop 18% as new Leicester factory reports threaten sales,NEG,boohoo share drop new leicester factory report threaten sale
118,118,Nationwide to offer low-deposit mortgages after stamp duty move,POS,nationwide offer mortgage stamp duty move
119,119,"Grogonomics To make jobseeker fit for purpose, its temporary rise should be permanent",POS,grogonomics make jobseeker fit purpose temporary rise permanent
120,120,Offshore wind energy investment quadruples despite Covid-19 slump,POS,offshore wind energy investment quadruple despite slump
121,121,Halfords to close up to 60 sites despite rise in bike sales in lockdown,NEG,halfords close site despite rise bike sale lockdown
122,122,Business live Markets strengthen amid economic recovery hopes - as it happened,POS,business live market strengthen amid economic recovery hope happened
123,123,What is Huawei and why is its role in UK's 5G so controversial?,NEU,huawei uk role controversial
124,124,"G4S planning more than 1,000 job losses in cash-handling services",NEG,planning job loss service
125,125,Johnnie Walker maker creates plastic-free paper-based spirits bottle,POS,johnnie walker maker creates spirit bottle
126,126,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,NEG,gold tanzania trade body urged suspend refinery alleged abuse
127,127,Work begins in Lincolnshire on world's longest subsea power cable,POS,work lincolnshire begin world longest subsea power cable
128,128,Quiz suspends clothing supplier over Leicester subcontractor concerns,NEG,quiz leicester suspends clothing supplier subcontractor concern
129,129,BT boss warns of outages and security risks if UK ditches Huawei,NEG,uk huawei bt bos warns outage security risk ditch
130,130,"Three in four UK firms unprepared for Brexit, study shows",NEG,brexit three four uk firm unprepared study show
131,131,UK tobacco sales fell faster after plain packaging rules came into force,POS,uk tobacco sale fell faster plain packaging rule came force
132,132,"Shoppers shun high streets in England and Northern Ireland, data shows",NEG,england northern ireland shopper shun high street data show
133,133,Bono campaign group accuses UK of wasting international aid budget,NEG,bono campaign group accuses uk wasting international aid budget
134,134,Project Syndicate economists Covid-19 is no excuse for sovereign creditors to move the goalposts on debt,NEG,syndicate project economist excuse sovereign creditor move goalpost debt
135,135,Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery,POS,call higher tax wealthy pay recovery
136,136,Priti Patel to unveil details of post-Brexit immigration plans,NEU,priti patel unveil detail immigration plan
137,137,Primark turns down £30m windfall from job retention bonus,POS,primark turn windfall job retention bonus
138,138,Post-furlough sums don’t add up for me,NEG,sum add
139,139,Corporations begin cautious return to UK offices after lockdown,NEU,uk corporation begin cautious return office lockdown
140,140,Economics viewpoint Until Covid-19 uncertainty melts away there's little chance of full economic recovery,NEG,economics viewpoint uncertainty melt away little chance full economic recovery
141,141,Of course there's a future for the British fishing industry – on stage,NEU,british course future fishing industry stage
142,142,The simplest way to close the racial wealth gap? Direct cash payments,POS,simplest way close racial wealth gap direct cash payment
143,143,Enough of the psychobabble. Racism is not something to fix with therapy,NEG,racism enough psychobabble something fix therapy
144,144,‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight,NEG,asda got away paying men milestone loom equal pay fight
145,145,Precious metal: the gold-standard investment when a crisis hits?,NEU,precious metal investment crisis hit
146,146,The shifting patterns of English May I have a word about… why it’s a bloodbath on the streets,NEG,english shifting pattern may word bloodbath street
147,147,"Observer business agenda Sunak will say things are looking up, but OBR has less faith in a rebound",NEG,observer sunak obr business agenda say thing looking less faith rebound
148,148,Business leader Investors are selling Boohoo shares now. They could have intervened far earlier,NEG,business boohoo leader investor selling share could intervened far earlier
149,149,Is too much trade at stake for Britain to stand up to Beijing?,NEU,britain beijing much trade stake stand
150,150,Where in Britain does China spend its money?,NEU,britain china spend money
151,151,"Electric cars: five best buys, from new models to used bargains",POS,electric car five best buy new model used bargain
152,152,Boris Johnson urged to clarify message on wearing face masks in shops,NEU,boris johnson urged clarify message wearing face mask shop
153,153,Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich,NEG,revealed pandemic poverty benefit rich
154,154,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",POS,parent helped pack lube sex toy bidet lockdown business boomed
155,155,'Pensioners are already suffering': responses to the summer statement,NEG,already suffering response summer statement
156,156,"Leicester factory put lives at risk during lockdown, claims garment worker",NEG,leicester factory put life risk lockdown claim garment worker
157,157,Vast Brexit customs clearance centre to be built in Kent,NEU,vast brexit kent custom clearance centre built
158,158,G4S fined £44m by Serious Fraud Office over electronic tagging,NEG,g4s serious fraud fined office electronic tagging
159,159,The billionaire Boohoo family who started with a market stall in Manchester,NEU,boohoo billionaire family started market stall manchester
160,160,Estate agents in England report surge of interest as tax cut spurs on homebuyers,POS,estate england agent surge interest tax cut spur homebuyers
161,161,Boohoo shareholder sells off shares in firm worth nearly £80m,NEG,boohoo shareholder sell share firm worth nearly
162,162,West End landlord collects less than a third of rent in June,NEG,west end landlord collect less third rent june
163,163,UK travel companies 'must comply with laws on refunds or face legal action',NEG,uk travel company comply law refund face legal action
164,164,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,NEG,boohoo jalal kamani leicester linked garment factory
165,165,Divided Libya to restart oil production after six-month shutdown,POS,libya divided restart oil production shutdown
166,166,"Business live England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",POS,business england live get ready reopen gym pool nail bar lockdown eas happened
167,167,The age of extinction Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong,NEG,boris johnson uk age extinction say newt drag economy wrong
168,168,"Gyms, pools and nail bars: what the new rules in England allow",NEU,gyms england pool nail bar new rule allow
169,169,Other lives Mike Wilson obituary,NEU,mike wilson life obituary
170,170,Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel,NEG,julia sawalha chicken run furious told old sequel
171,171,‘This isn’t really Somerset’: how the rich took over Bruton,NEG,bruton really somerset rich took
172,172,Royal Mail fined £1.6m for late deliveries and stamp overcharging,NEG,royal mail fined late delivery stamp overcharging
173,173,Culture in peril Coronavirus: hospitality VAT cut will apply to concerts and music festivals,POS,culture vat peril coronavirus hospitality cut apply concert music festival
174,174,One in 10 of Restaurant Group outlets will not reopen this year,NEG,restaurant group one outlet reopen year
175,175,How will we know the US economy is recovering? Here's what I'm watching,NEU,us know economy recovering watching
176,176,Gym Group to reopen most branches in England from 25 July,POS,gym group england reopen branch july
177,177,Pubs and restaurants in England trade at half their pre-virus levels,NEG,pubs england restaurant trade half level
178,178,Nils Pratley on finance Sharon White's radicalism at John Lewis is sorely needed,POS,nils pratley sharon white john lewis finance radicalism sorely needed
179,179,US push to ease global energy controls as it hands fossil fuels $3bn,NEG,us push ease global energy control hand fossil fuel
180,180,Boohoo shares bounce back after pledge to improve factory conditions,POS,boohoo share bounce back pledge improve factory condition
181,181,Kent airport gets green light to reopen as international hub,POS,kent airport get green light reopen international hub
182,182,"Business live Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",NEG,business john lewis live boot cut job shut eight store putting job risk happened
183,183,Seven ways to help garment workers,POS,seven way help garment worker
184,184,"Boots and John Lewis to cut 5,300 jobs and close stores",NEG,boots john lewis cut job close store
185,185,'Left in limbo': Leicester fears local lockdown will go on until mid-August,NEG,limbo leicester fear local lockdown go
186,186,Man arrested in Solihull over suspected £500k furlough fraud,NEG,solihull man arrested suspected furlough fraud
187,187,'No masks': Wagamama criticised over Rishi Sunak photo op,NEG,wagamama rishi sunak mask criticised photo op
188,188,'Phones ringing off the hook' at estate agents after stamp duty cut,POS,ringing hook estate agent stamp duty cut
189,189,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",NEG,amanda staveley barclays boss wrote bird court told
190,190,"Sunak's jobs policies badly timed and poorly targeted, says IFS",NEG,sunak ifs job policy badly timed poorly targeted say
191,191,Our film critic's first drive-in: 'I quietly squeak with excitement',POS,film critic first quietly squeak excitement
192,192,Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis,NEG,burned cash owing crisis
193,193,The pelvic mesh scandal makes it clear: doctors must declare any funding,NEG,pelvic mesh scandal make clear doctor must declare funding
194,194,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",NEG,boot cut job close store dramatic fall shopper number
195,195,Workers fight back as US hotels try to lay off staff and hire on the cheap,NEG,us worker fight back hotel try lay staff hire cheap
196,196,Second administrator to scrutinise Laura Ashley collapse,NEG,laura ashley second administrator scrutinise collapse
197,197,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,NEG,summer ifs statement air doubt uk economic stimulus
198,198,"John Lewis shuts eight stores with expected loss of 1,300 jobs",NEG,john lewis shuts eight store expected loss job
199,199,China has shown it is willing to pay the economic price of suppressing Hong Kong,NEG,china hong kong shown willing pay economic price suppressing
200,200,Uber Eats to deliver your supermarket shopping with Asda tie-up,POS,asda uber eats deliver supermarket shopping
201,201,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",NEG,ofgem plan put climate goal risk say energy firm
202,202,NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years,NEG,nbn co sack worker initial build network finish year
203,203,Today in Focus The Leicester garment factories exposed by Covid-19,NEG,focus leicester garment factory exposed
204,204,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",NEG,rio tinto new zealand smelter close loss job
205,205,UK housing market's post-lockdown bounce 'might run out of steam',NEG,uk housing market bounce run steam
206,206,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',NEG,mass rishi sunak unemployment feared despite job
207,207,'There are too many uncertainties': reactions to the summer statement,NEG,many uncertainty reaction summer statement
208,208,International aviation and shipping likely to be added to UK's net zero carbon target,POS,international uk aviation shipping likely added net zero carbon target
209,209,Chancellor's 'eat out to help out' plan: how to get value for money,POS,chancellor help plan get value money
210,210,Unions urge Rishi Sunak to do more on unemployment,NEG,rishi sunak union urge unemployment
211,211,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",POS,vat cut restaurant pub meal hotel mean
212,212,Chancellor's stock peaks with 'nudge' summer statement,POS,chancellor stock peak summer statement
213,213,'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response,NEG,rishi sunak green recovery look like plan get mixed response
214,214,"Stamp duty holiday may revive housing market, say experts",POS,stamp duty holiday may revive housing market say expert
215,215,"Politics live with Andrew Sparrow UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",POS,andrew sparrow uk rishi sunak politics live coronavirus live unveils stamp duty cut furlough bonus august discount eating happened
216,216,UK business leaders warn over closure of furlough scheme,NEG,uk business leader warn closure furlough scheme
217,217,Boohoo to launch independent review of UK supply chain,NEU,boohoo uk launch independent review supply chain
218,218,"May worst month for Covid-19 impact on UK job market, ONS figures show",NEG,ons may worst month impact uk job market figure show
219,219,Devolved nations call on Treasury for billions in extra spending,NEG,treasury devolved nation call billion extra spending
220,220,Boohoo must take fashion more seriously after factory scandal,NEG,boohoo must take fashion seriously factory scandal
221,221,Scotland to keep 14-day quarantine for travellers from Spain,NEU,scotland spain keep quarantine traveller
222,222,UK nominates Liam Fox to lead World Trade Organization,NEU,liam fox world trade organization uk nominates lead
223,223,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,POS,rishi sunak vat unveils stamp duty holiday hospitality cut
224,224,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",NEG,ryanair keep crew return pay cut say union
225,225,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",NEG,tati french paris retailer shuts shop year
226,226,Summer statement 2020: the chancellor's key points at a glance,NEU,summer statement chancellor key point glance
227,227,FirstGroup could cease trading as coronavirus hits passenger levels,NEG,firstgroup could cease trading coronavirus hit passenger level
228,228,Grant Thornton fined over Conviviality audit failures,NEG,grant thornton conviviality fined audit failure
229,229,Activists see Purdue bankruptcy case as last chance to call Sacklers to account,NEG,purdue activist see bankruptcy case last chance call sacklers account
230,230,Uber to launch London commuter boat service with Thames Clippers,POS,london thames clippers uber launch commuter boat service
231,231,147 new Australian Covid-19 cases – as it happened,NEG,australian new case happened
232,232,Stop trying to fight racism with corporate diversity consultants,NEG,stop trying fight racism corporate diversity consultant
233,233,Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s,POS,summer rishi sunak statement plan temporary job creation scheme
234,234,Summer statement: the UK's Covid-19 economic crisis in five key charts,NEG,summer uk statement economic crisis five key chart
235,235,How Rishi Sunak could kickstart UK's post-lockdown economy,POS,rishi sunak uk could kickstart economy
236,236,"Scam calls will rise as lockdown eases, says trading standards body",NEG,scam call rise lockdown eas say trading standard body
237,237,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",NEG,next asos amazon boohoo leicester drop amid factory claim
238,238,Nils Pratley on finance No business need at all now for a Chinese nuclear plant in the UK,NEG,nils pratley no chinese uk finance business need nuclear plant
239,239,Thousands of Jaguar Land Rover logistics workers to lose jobs,NEG,jaguar land rover thousand logistics worker lose job
240,240,Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings,NEG,deutsche bank epstein pay fine settle charge linked dealing
241,241,Crime fiction boom as book sales rocket past 2019 levels,POS,crime fiction boom book sale rocket past level
242,242,Business live Markets slide as EC predicts deeper eurozone recession - as it happened,NEG,ec business live market slide predicts deeper eurozone recession happened
243,243,JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests,NEG,rochdale jd sport warehouse host mobile lab positive test
244,244,The pandemic has exposed the dark underside of fast fashion's supply chains,NEG,pandemic exposed dark underside fast fashion supply chain
245,245,Lockdown living Fast fashion creates misery – and that's always a bad look,NEG,lockdown fast living fashion creates misery always bad look
246,246,New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France,NEG,new welsh jim ratcliffe ineos france factory risk look make car
247,247,Halfords predicts bicycle boom to continue for 2020,POS,halfords predicts bicycle boom continue
248,248,"UK house prices fell for fourth month in a row, says Halifax",NEG,halifax uk house price fell fourth month row say
249,249,"'We squandered a decade': world losing fight against poverty, says UN academic",NEG,squandered decade world losing fight poverty say un academic
250,250,'People say we don’t exist': the scandal of excluded black architects,NEG,say exist scandal excluded black architect
251,251,"Europe faces deep recession and UK will shrink by 10%, says EC",NEG,europe uk face deep recession shrink say ec
252,252,Boohoo shareholders demand answers after shares plunge by a third,NEG,boohoo shareholder demand answer share plunge third
253,253,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",NEG,us fossil fuel company taken least aid
254,254,Empathy machines: what will happen when robots learn to write film scripts?,NEU,empathy machine happen robot learn write film script
255,255,UK jobless rate 'could near 15% in second coronavirus wave',NEG,uk jobless rate near second coronavirus wave
256,256,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",POS,uk hotel booking returning slump say premier inn owner
257,257,Mirror and Express owner Reach to cut 550 jobs,NEG,mirror express reach owner cut job
258,258,"Treasury's 'green recovery' not enough, say campaigners",NEG,treasury recovery enough say campaigner
259,259,Tory ministers from 1980s fear return to mass unemployment,NEG,tory minister fear return mass unemployment
260,260,Gambling charity urges UK banks to improve card blocking systems,NEU,gambling charity urge uk bank improve card blocking system
261,261,Multibillion-dollar gas projects in jeopardy as global market collapses,NEG,gas project jeopardy global market collapse
262,262,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",NEU,jonathan sackler purdue pharma joint owner opioid maker dy aged
263,263,Nils Pratley on finance Departure of Horta-Osório no bad thing for Lloyds at this time,NEU,nils pratley lloyds finance departure bad thing time
264,264,More than £1bn wiped off Boohoo value as it investigates factory conditions,NEG,boohoo wiped value investigates factory condition
265,265,Business live UK car sales weakest since 1971; US service sector strengthens - as it happened,NEG,business uk us live car sale weakest since service sector strengthens happened
266,266,UK factory output suffers worst quarter on record amid coronavirus lockdown,NEG,uk factory output suffers worst quarter record amid coronavirus lockdown
267,267,Aviva appoints Amanda Blanc as chief executive,POS,aviva amanda blanc appoints chief executive
268,268,"Pret a Manger to close 30 UK stores with potential loss of 1,000 jobs",NEG,pret manger close uk store potential loss job
269,269,Giant flywheel project in Scotland could prevent UK blackouts,POS,giant scotland uk flywheel project could prevent blackout
