Index,Headline,Sentiment_Score
80,"BFI diversity standards ‘failing to tackle race discrimination in UK film industry’",-0.7
81,"Your problems with Anna Tims Floored as Harveys constantly failed on its promises to deliver",-0.7
82,Governments put ‘green recovery’ on the backburner,-0.7
83,The green recovery UK government planning new green investment bank,0.8
84,Stamp duty cut fuels surge of interest in London commuter belt,0.6
85,"UK energy efficiency push offers just a third of the investment needed, says report",-0.5
86,UK launches first online service for groceries in reusable packing,0.6
87,"Rishi Sunak’s capital gains tax review may usher in higher taxes on wealthy",-0.3
88,"Virgin Atlantic: a successful non-intervention by the Treasury",0.6
89,"The Guardian view on Covid-19 economics: the austerity con of deficit hysteria",-0.5
90,"Former Barclays boss apologises for Amanda Staveley ‘tart’ reference",-0.5
91,Hospitality VAT cut may not be passed on to UK consumers,-0.5
92,"Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly",0.5
93,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",-0.8
94,Treasury forecaster’s three stark predictions for Britain’s economy,-0.7
95,"UK accounting firms criticised by watchdog for ‘unacceptable’ work",-0.7
96,"Business live Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened",-0.6
97,"Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump",0.6
98,Ireland could randomly test tourists from high-risk countries for Covid-19,0.0
99,British Airways to sell art collection to ease Covid-19 pressures,-0.5
